"id","name","street","zip","country_id/id","city","email","phone","is_jobseeker","lang"
"part_jobseeker_001","Klara Andersson","Smultronvägen 64",764 19,"base.se","DJURSHOLM","klara.andersson@me.se","074 940 94 50",1,"sv_SE"
"part_jobseeker_002","Filip Johansson","Hammarvägen 123",734 57,"base.se","BOLLNÄS","filip.johansson@me.se","074 720 68 66",1,"sv_SE"
"part_jobseeker_003","Erik Karlsson","Sturegatan 117",492 52,"base.se","SÖDERHAMN","erik.karlsson@me.se","076 866 96 09",1,"sv_SE"
"part_jobseeker_004","Oscar Nilsson","Hallonvägen 154",951 04,"base.se","STOCKHOLM","oscar.nilsson@me.se","072 959 73 76",1,"sv_SE"
"part_jobseeker_005","Simon Eriksson","Hasselnötsvägen 48",203 63,"base.se","TÄBY","simon.erksson@me.se","078 909 42 14",1,"sv_SE"
"part_jobseeker_006","Anton Larsson","Odengatan 48",176 53,"base.se","TÄBY","anton.larsson@me.se","076 992 18 58",1,"sv_SE"
"part_jobseeker_007","Alexander Olsson","Odengatan 174",954 46,"base.se","TÄBY","alexander.olsson@me.se","076 533 07 68",1,"sv_SE"
"part_jobseeker_008","Viktor Persson","Vallengatan 20",919 51,"base.se","TÄBY","viktor.persson@me.se","078 261 12 81",1,"sv_SE"
"part_jobseeker_009","Jonathan Svensson","Birger jarlsgatan 101",820 53,"base.se","TÄBY","jonathan.svensson@me.se","078 522 86 42",1,"sv_SE"
"part_jobseeker_010","Marcus Gustafsson","Sturevägen 186",538 57,"base.se","TÄBY","marcus.gustafsson@me.se","079 624 43 87",1,"sv_SE"
"part_jobseeker_011","Jacob Pettersson","Vallengatan 5",417 19,"base.se","LUND","jacob.pettersson@me.se","077 682 82 41",1,"sv_SE"
"part_jobseeker_012","William Jonsson","Dalagatan 8",742 49,"base.se","Stockholm","william.jonsson@me.se","074 359 79 13",1,"sv_SE"
"part_jobseeker_013","Emil Jansson","Celsiusgatan 4",242 08,"base.se","BROMMA","emil.jansson@me.se","079 548 78 05",1,"sv_SE"
"part_jobseeker_014","Daniel Hansson","Centralplan 103",711 42,"base.se","GÖTEBORG","daniel.hansson@me.se","079 985 65 98",1,"sv_SE"
"part_jobseeker_015","Lukas Bengtsson","Chapmansgatan 181",906 23,"base.se","ÖSTERSUND","lukas.bengtsson@me.se","078 852 16 95",1,"sv_SE"
"part_jobseeker_016","Linus Jönsson","Chapmansgården 8",244 04,"base.se","JÄRFÄLLA","linus.jönsson@me.se","078 987 74 32",1,"sv_SE"
